F,GM,NVDA,ALB,QCOM
1.0011032,1.0128918,0.9981345,0.9949805,1.0034494
1.0017438,1.0128416,1.0082574,0.9956052,0.9997093
1.0069726,1.0025327,0.997861,1.0115863,0.9984428
0.98909,0.99363047,0.9777596,0.983692,0.98957753
0.99255264,0.9893756,0.9767357,0.98851377,0.9924041
0.9991159,0.9916051,0.99141884,1.0000614,1.0098397
1.0024952,1.0233973,0.99020875,1.0035183,1.0103196
1.0069704,1.0212581,0.99930793,1.0076989,1.0066097
1.0016104,1.0270065,1.0081494,0.9927754,1.0034868
0.9996696,1.010091,0.99683005,1.0048517,0.9999583
1.004518,0.988669,0.99645084,1.0022267,0.98943776
0.9989937,0.9946098,1.0110679,1.0050491,0.99035704
1.0007759,0.9995687,1.0131328,0.99413747,0.993851
0.9863224,0.99120426,0.97783583,0.9753989,0.9870084
0.9840673,0.9990479,0.96656317,1.0029223,0.9927057
0.9793647,1.0001187,0.9933789,1.0119369,0.9965588
0.98466647,0.9943067,0.98705864,0.97028315,0.9977738
1.0002426,1.0035777,0.96860826,0.96069014,1.0038625
1.002501,0.9934261,0.9825942,1.0151684,1.0112401
1.0070733,0.9942131,0.9838167,1.0056762,1.0056479
0.99058205,1.021702,0.9903947,0.9707865,1.0076928
0.9895411,0.99712914,1.0097059,1.0181922,0.99831027
1.0209339,0.9833665,1.0121207,1.01259,0.9843785
1.0767008,1.0318226,1.0006456,1.0049748,0.9991325
1.001094,1.0180929,0.99517673,1.070547,1.0049971
0.99573714,0.99192584,0.988078,0.99600303,1.001283
0.99404633,1.0207303,0.9947931,1.02569,0.99813914
0.9925834,0.9890932,0.9939773,1.0185204,1.006425
1.0049223,0.99084824,1.0119265,1.0097201,1.0133532
1.0313338,1.0030711,0.9985241,0.9746911,1.0043998
1.0108857,0.96849376,0.985494,1.02172,0.99903405
1.0391616,0.9778765,0.9966548,1.0167898,1.0107931
1.0028876,0.9966506,1.0116693,0.9923329,1.0071692
0.9992305,1.0054709,0.98376566,0.99753904,0.9964561
0.99743193,0.9785396,0.9990748,1.0255755,1.0098594
1.0273346,0.9678651,1.0470928,1.0243287,1.0277181
1.0234704,0.99879175,1.0635428,0.9934641,1.0440705
0.9653454,0.9986505,1.0063367,0.98961747,0.98093975
0.9995193,0.9937066,1.0177163,1.0183948,1.0031167
1.0232668,0.98693347,1.0299672,1.0126443,1.0308315
0.9816841,0.9911862,0.9795382,0.9735241,0.98693734
